protein_a,protein_b,direction_count,reciprocal_minimum_tm_score,reciprocal_minimum_coverage,reciprocal_minimum_lddt,reciprocal_minimum_homology_probability,maximum_sequence_identity,maximum_alignment_length,minimum_e_value,minimum_bit_score,qualifies_structure_edge,protein_a_family_id,protein_b_family_id
FKBP3_HUMAN,PA_I34A1,2,0.0505,0.243,0.3917,0.0,0.016,182,0.2141,5,False,ssf_178ecc1910b6,ssf_ec35c0fe8f0c
FKBP3_HUMAN,PHOT_CHLRE,2,0.2417,0.924,0.3186,0.051,0.048,124,0.2826,24,False,ssf_178ecc1910b6,ssf_3193156583c0
FKBP3_HUMAN,PIN1_HUMAN,2,0.1757,0.923,0.2196,0.016,0.024,81,0.1964,17,False,ssf_178ecc1910b6,ssf_27b2fd965bcd
FKBP3_HUMAN,PITX2_HUMAN,2,0.35,0.712,0.3668,0.138,0.028,70,0.3907,35,False,ssf_178ecc1910b6,ssf_3de478b56341
FKBP3_HUMAN,PKN1_HUMAN,2,0.28,0.521,0.3403,0.076,0.125,54,0.2825,28,False,ssf_178ecc1910b6,ssf_32b373a919b9
FKBP3_HUMAN,POLG_CXB3N,2,0.01995,0.038,0.2303,0.0,0.03,205,0.1813,2,False,ssf_178ecc1910b6,ssf_6872ef7481de
FKBP3_HUMAN,POLG_DEN26,2,0.04886,0.247,0.2685,0.0,0.016,308,0.2108,4,False,ssf_178ecc1910b6,ssf_1d81bb997017
FKBP3_HUMAN,POLG_HCVJF,2,0.1214,0.631,0.2828,0.008,0.011,169,0.1988,12,False,ssf_178ecc1910b6,ssf_55f4d290e887
FKBP3_HUMAN,POLG_PESV,2,0.3659,0.887,0.3661,0.15,0.027,72,0.4037,36,False,ssf_178ecc1910b6,ssf_dc63c2b3ba7c
FKBP3_HUMAN,PPARG_HUMAN,2,0.0814,0.327,0.2818,0.0,0.021,210,0.2289,8,False,ssf_178ecc1910b6,ssf_6d98a5313455
FKBP3_HUMAN,PPM1D_HUMAN,2,0.06728,0.63,0.253,0.0,0.012,403,0.2466,6,False,ssf_178ecc1910b6,ssf_c26e504ac4d4
FKBP3_HUMAN,PR40A_HUMAN,2,0.3345,0.683,0.3345,0.116,0.114,61,0.3438,33,False,ssf_178ecc1910b6,ssf_f662b12b6174
FKBP3_HUMAN,PRKN_HUMAN,2,0.07683,0.647,0.2787,0.0,0.008,354,0.2073,8,False,ssf_178ecc1910b6,ssf_044a6e3db01c
FKBP3_HUMAN,PSAE_PICP2,2,0.3079,0.971,0.3131,0.09,0.04,98,0.3092,30,False,ssf_178ecc1910b6,ssf_b20798b8020c
FKBP3_HUMAN,PTEN_HUMAN,2,0.08066,0.194,0.2297,0.0,0.022,181,0.1923,8,False,ssf_178ecc1910b6,ssf_a81536eee23e
FKBP3_HUMAN,Q2N0S5_9HIV1,2,0.05553,0.71,0.2575,0.0,0.004,622,0.2116,5,False,ssf_178ecc1910b6,ssf_1bf288bd319a
FKBP3_HUMAN,Q53Z42_HUMAN,2,0.08759,0.153,0.2737,0.0,0.017,113,0.2182,8,False,ssf_178ecc1910b6,ssf_77b576379330
FKBP3_HUMAN,Q59976_STRSQ,2,0.07969,0.178,0.2499,0.0,0.027,165,0.2043,7,False,ssf_178ecc1910b6,ssf_9ddcf4dec5c1
FKBP3_HUMAN,Q6WV12_9MAXI,2,0.1645,0.932,0.2304,0.014,0.004,221,0.2606,16,False,ssf_178ecc1910b6,ssf_cba7b508de0e
FKBP3_HUMAN,Q837P4_ENTFA,2,0.08341,0.555,0.4139,0.0,0.017,334,0.2714,8,False,ssf_178ecc1910b6,ssf_cdfaa4cd70ca
FKBP3_HUMAN,Q837P5_ENTFA,2,0.07156,0.172,0.2768,0.0,0.025,119,0.2163,8,False,ssf_178ecc1910b6,ssf_cdfaa4cd70ca
FKBP3_HUMAN,Q8WTC7_9CNID,2,0.1448,0.794,0.1916,0.01,0.018,217,0.2416,14,False,ssf_178ecc1910b6,ssf_cba7b508de0e
FKBP3_HUMAN,R1AB_SARS2,2,0.1383,0.631,0.2555,0.009,0.014,202,0.2572,13,False,ssf_178ecc1910b6,ssf_9fc1ecf8307b
FKBP3_HUMAN,RAD_ANTMA,2,0.279,0.42,0.2807,0.069,0.061,49,0.3063,27,False,ssf_178ecc1910b6,ssf_0eef6f01f081
FKBP3_HUMAN,RASH_HUMAN,2,0.1779,0.862,0.2488,0.016,0.005,180,0.2775,17,False,ssf_178ecc1910b6,ssf_550503ae0437
FKBP3_HUMAN,RASK_HUMAN,2,0.1724,0.479,0.2785,0.016,0.034,180,0.2603,17,False,ssf_178ecc1910b6,ssf_550503ae0437
FKBP3_HUMAN,RBP1_HUMAN,2,0.3088,0.551,0.3457,0.106,0.121,46,0.3361,32,False,ssf_178ecc1910b6,ssf_bc19e1d23319
FKBP3_HUMAN,RCD1_ARATH,2,0.3323,0.551,0.3851,0.116,0.146,53,0.3489,33,False,ssf_178ecc1910b6,ssf_329d15de34fe
FKBP3_HUMAN,RCRO_LAMBD,2,0.3118,0.952,0.3523,0.098,0.047,84,0.3182,31,False,ssf_178ecc1910b6,ssf_c6c5a726cc75
FKBP3_HUMAN,RD23A_HUMAN,2,0.2645,0.609,0.3168,0.063,0.046,65,0.3099,26,False,ssf_178ecc1910b6,ssf_3998cbaed1a7
FKBP3_HUMAN,RDRP_I33A0,2,0.05669,0.569,0.2467,0.0,0.008,450,0.2312,5,False,ssf_178ecc1910b6,ssf_bcc2d8a187a4
FKBP3_HUMAN,REV_HV1H2,2,0.2366,0.422,0.3756,0.045,0.018,54,0.3024,23,False,ssf_178ecc1910b6,ssf_4ddd0adc0328
FKBP3_HUMAN,RFAH_ECOLI,2,0.2753,1.0,0.3281,0.069,0.057,87,0.2911,27,False,ssf_178ecc1910b6,ssf_12ebdb52f01c
FKBP3_HUMAN,RL20_AQUAE,2,0.3853,0.739,0.4072,0.179,0.064,62,0.4031,38,False,ssf_178ecc1910b6,ssf_310c599ef29a
FKBP3_HUMAN,RL40A_YEAST,2,0.2381,0.484,0.3609,0.051,0.086,85,0.2886,24,False,ssf_178ecc1910b6,ssf_09950e3c22ee
FKBP3_HUMAN,RNC_ECOLI,2,0.1694,0.513,0.2811,0.014,0.031,129,0.2795,16,False,ssf_178ecc1910b6,ssf_692c79c706c4
FKBP3_HUMAN,RPC1_BP434,2,0.3494,0.681,0.4325,0.138,0.163,58,0.3588,35,False,ssf_178ecc1910b6,ssf_ffbe89385f32
FKBP3_HUMAN,RS15_GEOSE,2,0.3326,0.551,0.3543,0.116,0.033,60,0.3429,33,False,ssf_178ecc1910b6,ssf_bcab9ac142f5
FKBP3_HUMAN,S22A1_HUMAN,2,0.08542,0.591,0.1734,0.0,0.005,337,0.2377,8,False,ssf_178ecc1910b6,ssf_dedbcf3c34ac
FKBP3_HUMAN,SAV1_MOUSE,2,0.2062,0.837,0.2282,0.029,0.026,76,0.226,20,False,ssf_178ecc1910b6,ssf_0d40c1bb820d
FKBP3_HUMAN,SBI_STAAM,2,0.3485,0.783,0.3747,0.126,0.048,62,0.3733,34,False,ssf_178ecc1910b6,ssf_60dadcbd5371
FKBP3_HUMAN,SC6A4_HUMAN,2,0.07775,0.413,0.2594,0.0,0.025,270,0.2727,7,False,ssf_178ecc1910b6,ssf_5602ca7080fe
FKBP3_HUMAN,SCIN_STAAR,2,0.4248,0.783,0.4645,0.254,0.056,71,0.4266,42,False,ssf_178ecc1910b6,ssf_cf940c8da196
FKBP3_HUMAN,SDA_BACSU,2,0.3453,0.565,0.3999,0.126,0.095,42,0.4023,34,False,ssf_178ecc1910b6,ssf_3a5047c87583
FKBP3_HUMAN,SERC_HUMAN,2,0.1021,0.216,0.2891,0.0,0.041,161,0.2164,10,False,ssf_178ecc1910b6,ssf_f2035d659d6a
FKBP3_HUMAN,SHOC2_HUMAN,2,0.06059,0.119,0.2464,0.0,0.021,92,0.1758,6,False,ssf_178ecc1910b6,ssf_6f5083a5504d
FKBP3_HUMAN,SOX30_HUMAN,2,0.3409,0.971,0.3493,0.126,0.035,85,0.3607,34,False,ssf_178ecc1910b6,ssf_6cc095ce3976
FKBP3_HUMAN,SPA_STAAU,2,0.422,0.725,0.4864,0.254,0.055,54,0.4508,42,False,ssf_178ecc1910b6,ssf_5e471b6b3e5d
FKBP3_HUMAN,SPG1_STRSG,2,0.08103,0.112,0.4382,0.0,0.111,81,0.2073,8,False,ssf_178ecc1910b6,ssf_db4b6fc031cf
FKBP3_HUMAN,SPG2_STRSG,2,0.2879,0.732,0.3169,0.082,0.075,68,0.3033,29,False,ssf_178ecc1910b6,ssf_67e127763d3d
FKBP3_HUMAN,SPIKE_SARS2,2,0.03273,0.136,0.2556,0.0,0.038,242,0.187,3,False,ssf_178ecc1910b6,ssf_761ae81d509c
FKBP3_HUMAN,SPTN1_CHICK,2,0.2391,0.817,0.272,0.045,0.028,71,0.244,23,False,ssf_178ecc1910b6,ssf_b0e1111705e5
FKBP3_HUMAN,SQSTM_MOUSE,2,0.2607,0.609,0.3089,0.063,0.063,47,0.2945,26,False,ssf_178ecc1910b6,ssf_fd3d638b0af8
FKBP3_HUMAN,SR43C_ARATH,2,0.2341,0.522,0.2883,0.045,0.037,53,0.2639,23,False,ssf_178ecc1910b6,ssf_63a1a4e89751
FKBP3_HUMAN,SRBS1_HUMAN,2,0.2389,0.754,0.2417,0.045,0.028,89,0.2405,23,False,ssf_178ecc1910b6,ssf_09af8f8b7309
FKBP3_HUMAN,SRC_HUMAN,2,0.08242,0.218,0.2512,0.0,0.022,133,0.2284,8,False,ssf_178ecc1910b6,ssf_c38d9b4005f8
FKBP3_HUMAN,SUMO1_HUMAN,2,0.2803,0.822,0.3231,0.076,0.049,101,0.3113,28,False,ssf_178ecc1910b6,ssf_19622d9f3f73
FKBP3_HUMAN,SYUA_HUMAN,2,0.1288,0.221,0.2159,0.008,0.1,40,0.1623,12,False,ssf_178ecc1910b6,ssf_87dffde05f09
FKBP3_HUMAN,TADBP_HUMAN,2,0.08737,0.155,0.3029,0.0,0.023,85,0.1919,8,False,ssf_178ecc1910b6,ssf_b0af6d5185b3
FKBP3_HUMAN,TAT_HV1BR,2,0.1964,0.523,0.256,0.024,0.013,76,0.2118,19,False,ssf_178ecc1910b6,ssf_0d06a357cd85
FKBP3_HUMAN,TCRG1_MOUSE,2,0.2009,0.928,0.2546,0.029,0.012,77,0.2251,20,False,ssf_178ecc1910b6,ssf_a21d29addbd9
FKBP3_HUMAN,THO1_YEAST,2,0.4367,0.913,0.4423,0.277,0.111,63,0.5197,43,False,ssf_178ecc1910b6,ssf_a523304d9a92
FKBP3_HUMAN,TNKS2_HUMAN,2,0.2953,0.551,0.3172,0.082,0.066,45,0.3138,29,False,ssf_178ecc1910b6,ssf_1a40a2a2ccdc
FKBP3_HUMAN,TPK1_HUMAN,2,0.1319,0.358,0.2408,0.009,0.019,258,0.2226,13,False,ssf_178ecc1910b6,ssf_3c2e5ceba3be
FKBP3_HUMAN,TPMT_HUMAN,2,0.1207,0.286,0.2565,0.007,0.015,262,0.2031,11,False,ssf_178ecc1910b6,ssf_b5a772423035
FKBP3_HUMAN,TPOR_HUMAN,2,0.05553,0.406,0.235,0.0,0.0,272,0.1774,5,False,ssf_178ecc1910b6,ssf_540579521118
FKBP3_HUMAN,TRPC_SACS2,2,0.1202,0.282,0.2283,0.008,0.024,82,0.2156,12,False,ssf_178ecc1910b6,ssf_415fc4c4433b
FKBP3_HUMAN,TRPC_THEMA,2,0.1213,0.496,0.2503,0.008,0.031,157,0.2358,12,False,ssf_178ecc1910b6,ssf_415fc4c4433b
FKBP3_HUMAN,UBC9_HUMAN,2,0.1985,0.692,0.3649,0.024,0.041,120,0.2772,19,False,ssf_178ecc1910b6,ssf_ab8b39992872
FKBP3_HUMAN,UBE4B_HUMAN,2,0.3257,0.594,0.3359,0.106,0.055,54,0.3257,32,False,ssf_178ecc1910b6,ssf_a47101dcf200
FKBP3_HUMAN,UBE4B_MOUSE,2,0.03216,0.052,0.3512,0.0,0.078,76,0.2016,3,False,ssf_178ecc1910b6,ssf_2d1d2debf9a5
FKBP3_HUMAN,UBR5_HUMAN,2,0.3629,0.725,0.4363,0.196,0.103,58,0.3839,39,False,ssf_178ecc1910b6,ssf_059a8d032aa4
FKBP3_HUMAN,VG08_BPP22,2,0.3114,0.536,0.3408,0.098,0.081,37,0.3702,31,False,ssf_178ecc1910b6,ssf_ffaeeb6011e9
FKBP3_HUMAN,VILI_CHICK,2,0.3829,0.862,0.3864,0.179,0.038,78,0.39,38,False,ssf_178ecc1910b6,ssf_0815efaffc38
FKBP3_HUMAN,VKOR1_HUMAN,2,0.1601,0.356,0.3199,0.011,0.048,92,0.2353,15,False,ssf_178ecc1910b6,ssf_893ea5ec829f
FKBP3_HUMAN,VRPI_BPT7,2,0.312,0.652,0.3175,0.098,0.0,64,0.3376,31,False,ssf_178ecc1910b6,ssf_c5c95e85f55b
FKBP3_HUMAN,YAIA_ECOLI,2,0.3229,0.928,0.3196,0.106,0.025,78,0.3544,32,False,ssf_178ecc1910b6,ssf_ac44f5c3e836
FKBP3_HUMAN,YNZC_BACSU,2,0.3209,0.522,0.353,0.106,0.027,37,0.406,32,False,ssf_178ecc1910b6,ssf_ca121528f828
GAL4_YEAST,GDIA_HUMAN,2,0.1379,0.718,0.1968,0.009,0.018,803,0.1846,13,False,ssf_2be67f569203,ssf_8931019bd293
GAL4_YEAST,GFP_AEQVI,2,0.09864,0.724,0.2188,0.0,0.005,751,0.1846,9,False,ssf_2be67f569203,ssf_cba7b508de0e
GAL4_YEAST,GRB2_HUMAN,2,0.09157,0.268,0.1792,0.0,0.014,351,0.1767,9,False,ssf_2be67f569203,ssf_a2995dce9367
GAL4_YEAST,HCP_LAMBD,2,0.03795,0.085,0.2651,0.0,0.01,146,0.2172,3,False,ssf_2be67f569203,ssf_f4afbafe8fe3
GAL4_YEAST,HECD1_HUMAN,2,0.04515,0.387,0.181,0.0,0.005,353,0.18,4,False,ssf_2be67f569203,ssf_45f2530c8897
GAL4_YEAST,HEM3_HUMAN,2,0.1739,0.585,0.2326,0.016,0.02,649,0.2552,17,False,ssf_2be67f569203,ssf_afe0fb52df15
GAL4_YEAST,HMDH_HUMAN,2,0.1706,0.646,0.2494,0.016,0.017,918,0.1708,17,False,ssf_2be67f569203,ssf_a470df240675
GAL4_YEAST,HSP82_YEAST,2,0.1736,0.482,0.2476,0.016,0.022,574,0.1889,17,False,ssf_2be67f569203,ssf_4ba74830b6b6
GAL4_YEAST,HXK4_HUMAN,2,0.1571,0.519,0.217,0.016,0.021,799,0.21,17,False,ssf_2be67f569203,ssf_b10f2912eeeb
GAL4_YEAST,I6TAH8_I68A0,2,0.1646,0.461,0.2372,0.014,0.031,746,0.21,16,False,ssf_2be67f569203,ssf_ac5654d2afd9
GAL4_YEAST,IF1_ECOLI,2,0.03587,0.316,0.1977,0.0,0.006,634,0.1526,3,False,ssf_2be67f569203,ssf_ab9383c4e9ad
GAL4_YEAST,ILF3_HUMAN,2,0.03869,0.091,0.1783,0.0,0.037,112,0.19,3,False,ssf_2be67f569203,ssf_8239bef973ac
GAL4_YEAST,ISDH_STAAW,2,0.04845,0.119,0.2805,0.0,0.045,128,0.2914,4,False,ssf_2be67f569203,ssf_952abe758b6a
GAL4_YEAST,KCNE1_HUMAN,2,0.0627,0.751,0.2379,0.0,0.002,705,0.188,6,False,ssf_2be67f569203,ssf_8626537a0620
GAL4_YEAST,KCNJ2_MOUSE,2,0.1385,0.63,0.2171,0.011,0.015,847,0.191,15,False,ssf_2be67f569203,ssf_f35e7c0d2382
GAL4_YEAST,KKA2_KLEPN,2,0.1128,0.325,0.1945,0.007,0.028,387,0.1951,11,False,ssf_2be67f569203,ssf_72f0344ad526
GAL4_YEAST,LGK_LIPST,2,0.1468,0.663,0.2211,0.011,0.017,858,0.1963,15,False,ssf_2be67f569203,ssf_bba3db8a5a23
GAL4_YEAST,MAFG_MOUSE,2,0.03486,0.037,0.6117,0.0,0.111,36,0.3059,3,False,ssf_2be67f569203,ssf_a1eda43852c5
GAL4_YEAST,MBD11_ARATH,2,0.04252,0.19,0.1698,0.0,0.032,182,0.1927,4,False,ssf_2be67f569203,ssf_029b997580c1
GAL4_YEAST,MET_HUMAN,2,0.121,0.326,0.2161,0.008,0.034,587,0.2049,12,False,ssf_2be67f569203,ssf_9e206bd97a80
GAL4_YEAST,MK01_HUMAN,2,0.152,0.703,0.2022,0.011,0.018,756,0.2187,15,False,ssf_2be67f569203,ssf_29a8f9564eb0
GAL4_YEAST,MLAC_ECOLI,2,0.09472,0.638,0.3019,0.0,0.008,671,0.1988,9,False,ssf_2be67f569203,ssf_2185c9b20e14
GAL4_YEAST,MSH2_HUMAN,2,0.1801,0.81,0.2375,0.016,0.009,1274,0.1838,17,False,ssf_2be67f569203,ssf_48cbc265b524
GAL4_YEAST,MTH3_HAEAE,2,0.1269,0.498,0.2113,0.008,0.034,542,0.1946,12,False,ssf_2be67f569203,ssf_9a90786f7320
GAL4_YEAST,MTHR_HUMAN,2,0.1983,0.767,0.2276,0.024,0.01,1044,0.2231,19,False,ssf_2be67f569203,ssf_095a60e097b5
GAL4_YEAST,MYO3_YEAST,2,0.0324,0.124,0.1725,0.0,0.008,367,0.1407,3,False,ssf_2be67f569203,ssf_09af8f8b7309
GAL4_YEAST,NCAP_I34A1,2,0.1638,0.461,0.2302,0.014,0.023,924,0.2099,16,False,ssf_2be67f569203,ssf_ac5654d2afd9
GAL4_YEAST,NKX31_HUMAN,2,0.05031,0.23,0.2415,0.0,0.004,284,0.2571,5,False,ssf_2be67f569203,ssf_3de478b56341
GAL4_YEAST,NPC1_HUMAN,2,0.1431,0.734,0.1845,0.01,0.01,1676,0.1659,14,False,ssf_2be67f569203,ssf_9d5fffe3ecc6
GAL4_YEAST,NUD15_HUMAN,2,0.09485,0.454,0.1747,0.0,0.006,449,0.2095,9,False,ssf_2be67f569203,ssf_7dd15a2e7599
GAL4_YEAST,NUSA_ECOLI,2,0.04747,0.159,0.218,0.0,0.026,323,0.2228,4,False,ssf_2be67f569203,ssf_a92a5d40f0e3
GAL4_YEAST,NUSG_MYCTU,2,0.03618,0.045,0.339,0.0,0.054,55,0.1751,3,False,ssf_2be67f569203,ssf_12ebdb52f01c
GAL4_YEAST,OBSCN_HUMAN,2,0.03586,0.126,0.1709,0.0,0.006,632,0.1535,3,False,ssf_2be67f569203,ssf_09af8f8b7309
GAL4_YEAST,ODP2_GEOSE,2,0.02209,0.356,0.1999,0.0,0.0,333,0.1751,2,False,ssf_2be67f569203,ssf_a7d25cc6753c
GAL4_YEAST,OTC_HUMAN,2,0.147,0.438,0.202,0.01,0.018,982,0.2146,14,False,ssf_2be67f569203,ssf_85ec1183d131
GAL4_YEAST,OTU7A_HUMAN,2,0.02923,0.04,0.4145,0.0,0.021,141,0.1697,3,False,ssf_2be67f569203,ssf_24059a2f71bf
GAL4_YEAST,OXDA_RHOTO,2,0.1298,0.793,0.2009,0.009,0.012,1065,0.1902,13,False,ssf_2be67f569203,ssf_08db490a0d52
GAL4_YEAST,P53_HUMAN,2,0.1291,0.794,0.1948,0.008,0.018,874,0.181,12,False,ssf_2be67f569203,ssf_a3526b63cbae
GAL4_YEAST,P84126_THETH,2,0.11,0.37,0.2135,0.007,0.018,803,0.1981,11,False,ssf_2be67f569203,ssf_415fc4c4433b
GAL4_YEAST,PABP_YEAST,2,0.1832,0.73,0.24,0.02,0.009,969,0.2191,18,False,ssf_2be67f569203,ssf_a34f78cda012
GAL4_YEAST,PAI1_HUMAN,2,0.1298,0.407,0.1984,0.008,0.019,562,0.1842,12,False,ssf_2be67f569203,ssf_51cbf66f0934
GAL4_YEAST,PA_I34A1,2,0.1716,0.493,0.2512,0.016,0.024,656,0.186,17,False,ssf_2be67f569203,ssf_ec35c0fe8f0c
GAL4_YEAST,PHOT_CHLRE,2,0.05811,0.704,0.2197,0.0,0.007,714,0.1701,5,False,ssf_2be67f569203,ssf_3193156583c0
GAL4_YEAST,PIN1_HUMAN,2,0.02521,0.032,0.3354,0.0,0.033,30,0.1586,2,False,ssf_2be67f569203,ssf_27b2fd965bcd
GAL4_YEAST,PITX2_HUMAN,2,0.0408,0.099,0.2922,0.0,0.03,100,0.2305,4,False,ssf_2be67f569203,ssf_3de478b56341
GAL4_YEAST,PKN1_HUMAN,2,0.07022,0.081,0.3556,0.0,0.123,392,0.3543,7,False,ssf_2be67f569203,ssf_32b373a919b9
GAL4_YEAST,POLG_CXB3N,2,0.106,0.906,0.139,0.0,0.011,2528,0.1603,10,False,ssf_2be67f569203,ssf_6872ef7481de
GAL4_YEAST,POLG_DEN26,2,0.2121,0.623,0.1798,0.034,0.019,1257,0.2136,21,False,ssf_2be67f569203,ssf_1d81bb997017
GAL4_YEAST,POLG_HCVJF,2,0.1179,0.435,0.1934,0.007,0.022,479,0.2164,11,False,ssf_2be67f569203,ssf_55f4d290e887
GAL4_YEAST,POLG_PESV,2,0.03734,0.069,0.2404,0.0,0.044,85,0.1983,3,False,ssf_2be67f569203,ssf_dc63c2b3ba7c
GAL4_YEAST,PPARG_HUMAN,2,0.1656,0.652,0.2459,0.014,0.024,786,0.2072,16,False,ssf_2be67f569203,ssf_6d98a5313455
GAL4_YEAST,PPM1D_HUMAN,2,0.1793,0.775,0.2724,0.016,0.018,1097,0.2077,17,False,ssf_2be67f569203,ssf_c26e504ac4d4
GAL4_YEAST,PR40A_HUMAN,2,0.05262,0.709,0.283,0.0,0.006,626,0.2368,5,False,ssf_2be67f569203,ssf_f662b12b6174
GAL4_YEAST,PRKN_HUMAN,2,0.1528,0.793,0.215,0.011,0.008,954,0.1978,15,False,ssf_2be67f569203,ssf_044a6e3db01c
GAL4_YEAST,PSAE_PICP2,2,0.03782,0.208,0.1376,0.0,0.005,197,0.1489,3,False,ssf_2be67f569203,ssf_b20798b8020c
GAL4_YEAST,PTEN_HUMAN,2,0.1712,0.662,0.2156,0.016,0.016,778,0.2419,17,False,ssf_2be67f569203,ssf_a81536eee23e
GAL4_YEAST,Q2N0S5_9HIV1,2,0.1756,0.709,0.1777,0.016,0.011,1096,0.177,17,False,ssf_2be67f569203,ssf_1bf288bd319a
GAL4_YEAST,Q53Z42_HUMAN,2,0.1278,0.665,0.2489,0.008,0.014,698,0.1888,12,False,ssf_2be67f569203,ssf_77b576379330
GAL4_YEAST,Q59976_STRSQ,2,0.1864,0.59,0.1979,0.02,0.018,801,0.236,18,False,ssf_2be67f569203,ssf_9ddcf4dec5c1
GAL4_YEAST,Q6WV12_9MAXI,2,0.09424,0.708,0.228,0.0,0.004,728,0.1867,9,False,ssf_2be67f569203,ssf_cba7b508de0e
GAL4_YEAST,Q837P4_ENTFA,2,0.1566,0.605,0.2956,0.011,0.016,902,0.1864,15,False,ssf_2be67f569203,ssf_cdfaa4cd70ca
GAL4_YEAST,Q837P5_ENTFA,2,0.154,0.876,0.1982,0.011,0.019,1118,0.1827,15,False,ssf_2be67f569203,ssf_cdfaa4cd70ca
GAL4_YEAST,Q8WTC7_9CNID,2,0.1023,0.724,0.2275,0.0,0.012,748,0.1931,10,False,ssf_2be67f569203,ssf_cba7b508de0e
GAL4_YEAST,R1AB_SARS2,2,0.1393,0.723,0.2249,0.009,0.014,748,0.2233,13,False,ssf_2be67f569203,ssf_9fc1ecf8307b
GAL4_YEAST,RAD_ANTMA,2,0.04509,0.102,0.2936,0.0,0.009,101,0.2786,4,False,ssf_2be67f569203,ssf_0eef6f01f081
GAL4_YEAST,RASH_HUMAN,2,0.09374,0.612,0.2679,0.0,0.016,620,0.2068,9,False,ssf_2be67f569203,ssf_550503ae0437
GAL4_YEAST,RASK_HUMAN,2,0.1043,0.645,0.2692,0.0,0.007,702,0.2181,10,False,ssf_2be67f569203,ssf_550503ae0437
GAL4_YEAST,RBP1_HUMAN,2,0.05363,0.058,0.3737,0.0,0.074,88,0.3486,5,False,ssf_2be67f569203,ssf_bc19e1d23319
GAL4_YEAST,RCD1_ARATH,2,0.04739,0.073,0.2303,0.0,0.015,193,0.2287,4,False,ssf_2be67f569203,ssf_329d15de34fe
GAL4_YEAST,RCRO_LAMBD,2,0.04871,0.104,0.2446,0.0,0.038,103,0.2013,4,False,ssf_2be67f569203,ssf_c6c5a726cc75
GAL4_YEAST,RD23A_HUMAN,2,0.02973,0.034,0.4119,0.0,0.113,44,0.1692,2,False,ssf_2be67f569203,ssf_3998cbaed1a7
GAL4_YEAST,RDRP_I33A0,2,0.1834,0.627,0.2207,0.02,0.018,1123,0.1944,18,False,ssf_2be67f569203,ssf_bcc2d8a187a4
GAL4_YEAST,REV_HV1H2,2,0.07065,0.232,0.2666,0.0,0.013,355,0.2264,7,False,ssf_2be67f569203,ssf_4ddd0adc0328
GAL4_YEAST,RFAH_ECOLI,2,0.03604,0.043,0.3555,0.0,0.018,53,0.1795,3,False,ssf_2be67f569203,ssf_12ebdb52f01c
GAL4_YEAST,RL20_AQUAE,2,0.03539,0.098,0.2327,0.0,0.034,108,0.2031,4,False,ssf_2be67f569203,ssf_310c599ef29a
GAL4_YEAST,RL40A_YEAST,2,0.06052,0.103,0.3489,0.0,0.045,132,0.1722,6,False,ssf_2be67f569203,ssf_09950e3c22ee
GAL4_YEAST,RNC_ECOLI,2,0.1001,0.317,0.2818,0.0,0.03,386,0.1944,10,False,ssf_2be67f569203,ssf_692c79c706c4
GAL4_YEAST,RPC1_BP434,2,0.05194,0.697,0.3207,0.0,0.006,620,0.2395,5,False,ssf_2be67f569203,ssf_ffbe89385f32
GAL4_YEAST,RS15_GEOSE,2,0.0647,0.069,0.4064,0.0,0.078,85,0.3561,6,False,ssf_2be67f569203,ssf_bcab9ac142f5
GAL4_YEAST,S22A1_HUMAN,2,0.1773,0.514,0.2478,0.016,0.02,764,0.2157,17,False,ssf_2be67f569203,ssf_dedbcf3c34ac
GAL4_YEAST,SAV1_MOUSE,2,0.02716,0.035,0.3643,0.0,0.04,49,0.1536,2,False,ssf_2be67f569203,ssf_0d40c1bb820d
GAL4_YEAST,SBI_STAAM,2,0.05041,0.149,0.255,0.0,0.029,148,0.271,5,False,ssf_2be67f569203,ssf_60dadcbd5371
GAL4_YEAST,SC6A4_HUMAN,2,0.1861,0.648,0.2409,0.024,0.015,883,0.2114,19,False,ssf_2be67f569203,ssf_5602ca7080fe
GAL4_YEAST,SCIN_STAAR,2,0.0501,0.059,0.2807,0.0,0.076,75,0.2529,5,False,ssf_2be67f569203,ssf_cf940c8da196
GAL4_YEAST,SDA_BACSU,2,0.04602,0.09,0.2782,0.0,0.031,94,0.3074,4,False,ssf_2be67f569203,ssf_3a5047c87583
GAL4_YEAST,SERC_HUMAN,2,0.1488,0.473,0.2452,0.01,0.014,612,0.2252,14,False,ssf_2be67f569203,ssf_f2035d659d6a
GAL4_YEAST,SHOC2_HUMAN,2,0.1905,0.706,0.2118,0.02,0.019,962,0.2254,18,False,ssf_2be67f569203,ssf_6f5083a5504d
GAL4_YEAST,SOX30_HUMAN,2,0.03471,0.153,0.4187,0.0,0.028,546,0.1967,3,False,ssf_2be67f569203,ssf_6cc095ce3976
GAL4_YEAST,SPA_STAAU,2,0.03582,0.043,0.2869,0.0,0.046,336,0.2194,4,False,ssf_2be67f569203,ssf_5e471b6b3e5d
GAL4_YEAST,SPG1_STRSG,2,0.1351,0.842,0.3104,0.009,0.009,1005,0.1805,13,False,ssf_2be67f569203,ssf_db4b6fc031cf
GAL4_YEAST,SPG2_STRSG,2,0.03699,0.267,0.2579,0.0,0.009,441,0.2148,3,False,ssf_2be67f569203,ssf_67e127763d3d
GAL4_YEAST,SPIKE_SARS2,2,0.1395,0.92,0.1947,0.009,0.007,1731,0.1618,13,False,ssf_2be67f569203,ssf_761ae81d509c
